batch_size,embedding_size,num_heads,num_layers,total_num_parameters,OOM,build_time(ms)
1,1024,4,32,673776640.0,no,388.51404190063477
2,1024,4,32,673776640.0,no,471.3172912597656
3,1024,4,32,673776640.0,no,385.42866706848145
4,1024,4,32,673776640.0,no,470.4699516296387
5,1024,4,32,673776640.0,no,410.2439880371094
1,1536,4,25,1101869568.0,no,457.8711986541748
2,1536,4,25,1101869568.0,no,369.26865577697754
3,1536,4,25,1101869568.0,no,359.1477870941162
4,1536,4,25,1101869568.0,no,432.34705924987793
5,1536,4,25,1101869568.0,no,360.02159118652344
1,1536,4,26,1130184192.0,no,431.1234951019287
2,1536,4,26,1130184192.0,no,373.98219108581543
3,1536,4,26,1130184192.0,no,458.65464210510254
4,1536,4,26,1130184192.0,no,369.3685531616211
5,1536,4,26,1130184192.0,no,366.46032333374023
1,1536,4,27,1158498816.0,no,439.97859954833984
2,1536,4,27,1158498816.0,no,370.3138828277588
3,1536,4,27,1158498816.0,no,443.96519660949707
4,1536,4,27,1158498816.0,no,370.8205223083496
5,1536,4,27,1158498816.0,no,440.2637481689453
1,1536,4,28,1186813440.0,no,367.7020072937012
2,1536,4,28,1186813440.0,no,370.495080947876
3,1536,4,28,1186813440.0,no,442.9183006286621
4,1536,4,28,1186813440.0,no,364.4068241119385
5,1536,4,28,1186813440.0,no,438.2586479187012
1,1536,4,29,1215128064.0,no,372.44176864624023
2,1536,4,29,1215128064.0,no,439.2843246459961
3,1536,4,29,1215128064.0,no,371.98352813720703
4,1536,4,29,1215128064.0,no,367.2301769256592
5,1536,4,29,1215128064.0,no,448.03857803344727
1,1536,4,30,1243442688.0,no,380.8262348175049
2,1536,4,30,1243442688.0,no,450.67286491394043
3,1536,4,30,1243442688.0,no,382.9309940338135
4,1536,4,30,1243442688.0,no,441.2963390350342
5,1536,4,30,1243442688.0,no,372.5781440734863
1,1536,4,31,1271757312.0,no,432.45577812194824
2,1536,4,31,1271757312.0,no,370.73779106140137
3,1536,4,31,1271757312.0,no,367.2516345977783
4,1536,4,31,1271757312.0,no,438.5871887207031
5,1536,4,31,1271757312.0,no,368.49403381347656
1,1536,4,32,1300071936.0,no,439.8918151855469
2,1536,4,32,1300071936.0,no,370.6045150756836
3,1536,4,32,1300071936.0,no,437.5498294830322
4,1536,4,32,1300071936.0,no,368.4530258178711
5,1536,4,32,1300071936.0,no,371.7372417449951
1,2048,4,25,1809946624.0,no,433.97045135498047
2,2048,4,25,1809946624.0,no,367.34676361083984
3,2048,4,25,1809946624.0,no,432.2781562805176
4,2048,4,25,1809946624.0,no,363.8160228729248
5,2048,4,25,1809946624.0,no,433.5894584655762
1,2048,4,26,1861330944.0,no,367.88368225097656
2,2048,4,26,1861330944.0,no,362.9298210144043
3,2048,4,26,1861330944.0,no,431.8199157714844
4,2048,4,26,1861330944.0,no,363.1176948547363
5,2048,4,26,1861330944.0,no,431.3535690307617
1,2048,4,27,1912715264.0,no,366.11413955688477
2,2048,4,27,1912715264.0,no,436.3839626312256
3,2048,4,27,1912715264.0,no,364.01987075805664
4,2048,4,27,1912715264.0,no,368.08061599731445
5,2048,4,27,1912715264.0,no,431.2732219696045
1,2048,4,28,1964099584.0,no,365.3526306152344
2,2048,4,28,1964099584.0,no,435.3029727935791
3,2048,4,28,1964099584.0,no,365.3988838195801
4,2048,4,28,1964099584.0,no,437.32237815856934
5,2048,4,28,1964099584.0,no,369.71116065979004
1,2048,4,29,2015483904.0,no,368.3326244354248
2,2048,4,29,2015483904.0,no,436.72800064086914
3,2048,4,29,2015483904.0,no,367.9239749908447
4,2048,4,29,2015483904.0,no,437.1912479400635
5,2048,4,29,2015483904.0,no,366.20569229125977
1,2048,4,30,2066868224.0,no,439.4867420196533
2,2048,4,30,2066868224.0,no,372.94816970825195
3,2048,4,30,2066868224.0,no,434.7231388092041
4,2048,4,30,2066868224.0,no,372.9739189147949
5,2048,4,30,2066868224.0,no,370.2383041381836
1,2048,4,31,2118252544.0,no,439.5461082458496
2,2048,4,31,2118252544.0,no,370.24664878845215
3,2048,4,31,2118252544.0,no,443.7832832336426
4,2048,4,31,2118252544.0,no,366.6808605194092
5,2048,4,31,2118252544.0,no,437.99853324890137
1,2048,4,32,2169636864.0,no,373.0738162994385
2,2048,4,32,2169636864.0,no,370.58448791503906
3,2048,4,32,2169636864.0,no,436.4633560180664
4,2048,4,32,2169636864.0,no,366.3175106048584
5,2048,4,32,2169636864.0,no,461.7276191711426
1,4096,4,25,6110261248.0,no,375.5664825439453
2,4096,4,25,,yes,
3,4096,4,25,,yes,
4,4096,4,25,,yes,
5,4096,4,25,,yes,
1,4096,4,26,,yes,
2,4096,4,26,,yes,
3,4096,4,26,,yes,
4,4096,4,26,,yes,
5,4096,4,26,,yes,
1,4096,4,27,,yes,
2,4096,4,27,,yes,
3,4096,4,27,,yes,
4,4096,4,27,,yes,
5,4096,4,27,,yes,
1,4096,4,28,,yes,
2,4096,4,28,,yes,
3,4096,4,28,,yes,
4,4096,4,28,,yes,
5,4096,4,28,,yes,
1,4096,4,29,,yes,
2,4096,4,29,,yes,
3,4096,4,29,,yes,
4,4096,4,29,,yes,
5,4096,4,29,,yes,
1,4096,4,30,,yes,
2,4096,4,30,,yes,
3,4096,4,30,,yes,
4,4096,4,30,,yes,
5,4096,4,30,,yes,
1,4096,4,31,,yes,
2,4096,4,31,,yes,
3,4096,4,31,,yes,
4,4096,4,31,,yes,
5,4096,4,31,,yes,
1,4096,4,32,,yes,
2,4096,4,32,,yes,
3,4096,4,32,,yes,
4,4096,4,32,,yes,
5,4096,4,32,,yes,
1,768,6,25,373987584.0,no,433.8548183441162
2,768,6,25,373987584.0,no,369.64893341064453
3,768,6,25,373987584.0,no,366.0397529602051
4,768,6,25,373987584.0,no,434.93127822875977
5,768,6,25,373987584.0,no,364.18843269348145
1,768,6,26,381067008.0,no,437.6721382141113
